LOSS,LEARNING_RATE,MOMENTUM,NEURON_COUNT,HIT,TOTAL,EPOCH,FEATURE_COUNT,increased_binding_protein_totals,increased_binding_protein_hits,decreased_binding_protein_totals,decreased_binding_protein_hits,negative_totals,negative_hits,primary_hypothyroid_totals,primary_hypothyroid_hits,compensated_hypothyroid_totals,compensated_hypothyroid_hits,secondary_hypothyroid_totals,secondary_hypothyroid_hits,replacement_therapy_totals,replacement_therapy_hits,underreplacement_totals,underreplacement_hits,overreplacement_totals,overreplacement_hits,discordant_totals,discordant_hit
2.3691412091255186,0.0010000000000000002,0.0,8.0,369.4,2500.0,10.0,2.0,250.0,59.5,250.0,7.6,250.0,24.9,250.0,141.2,250.0,3.2,250.0,2.3,250.0,1.7,250.0,5.2,250.0,104.8,250.0,19.0
2.174521636962891,0.0010000000000000002,0.09999999999999999,8.0,489.9,2500.0,10.0,2.0,250.0,23.3,250.0,26.6,250.0,7.4,250.0,218.1,250.0,12.0,250.0,41.9,250.0,25.1,250.0,14.1,250.0,78.1,250.0,43.3
2.227240872383118,0.0010000000000000002,0.19999999999999998,8.0,469.7,2500.0,10.0,2.0,250.0,26.1,250.0,29.0,250.0,24.9,250.0,141.5,250.0,34.0,250.0,14.5,250.0,1.7,250.0,10.0,250.0,169.3,250.0,18.7
2.1411529779434204,0.0010000000000000002,0.3,8.0,500.9,2500.0,10.0,2.0,250.0,9.6,250.0,24.6,250.0,1.1,250.0,194.4,250.0,21.7,250.0,36.7,250.0,23.0,250.0,14.5,250.0,174.9,250.0,0.4
1.9807236909866333,0.0010000000000000002,0.39999999999999997,8.0,540.0,2500.0,10.0,2.0,250.0,3.6,250.0,16.0,250.0,3.4,250.0,225.9,250.0,17.4,250.0,10.3,250.0,50.9,250.0,14.7,250.0,197.2,250.0,0.6
1.8480055153369903,0.0010000000000000002,0.5,8.0,578.1,2500.0,10.0,2.0,250.0,12.2,250.0,19.4,250.0,0.0,250.0,205.4,250.0,16.2,250.0,49.8,250.0,26.7,250.0,42.1,250.0,184.0,250.0,22.3
1.8269898653030396,0.0010000000000000002,0.5999999999999999,8.0,686.4,2500.0,10.0,2.0,250.0,43.9,250.0,0.0,250.0,2.9,250.0,206.4,250.0,60.6,250.0,67.9,250.0,68.2,250.0,6.2,250.0,218.2,250.0,12.1
1.8034866333007813,0.0010000000000000002,0.7000000000000001,8.0,736.8,2500.0,10.0,2.0,250.0,24.7,250.0,7.8,250.0,43.4,250.0,230.2,250.0,27.1,250.0,74.0,250.0,44.1,250.0,23.0,250.0,235.7,250.0,26.8
1.6840805649757384,0.0010000000000000002,0.7999999999999999,8.0,861.3,2500.0,10.0,2.0,250.0,44.4,250.0,6.9,250.0,43.4,250.0,218.1,250.0,72.3,250.0,114.8,250.0,60.2,250.0,26.2,250.0,206.4,250.0,68.6
1.6970703840255736,0.0010000000000000002,0.9000000000000001,8.0,962.7,2500.0,10.0,2.0,250.0,41.5,250.0,32.6,250.0,71.7,250.0,210.6,250.0,70.5,250.0,122.1,250.0,91.0,250.0,73.0,250.0,198.3,250.0,51.4
1.7275189280509948,0.0010000000000000002,0.0,32.0,575.6,2500.0,10.0,2.0,250.0,24.1,250.0,5.5,250.0,19.7,250.0,241.2,250.0,5.9,250.0,18.2,250.0,1.0,250.0,9.0,250.0,249.1,250.0,1.9
2.0284011483192446,0.0010000000000000002,0.09999999999999999,32.0,644.2,2500.0,10.0,2.0,250.0,28.1,250.0,3.8,250.0,14.8,250.0,235.2,250.0,10.4,250.0,54.6,250.0,0.7,250.0,43.8,250.0,250.0,250.0,2.8
1.9277383923530578,0.0010000000000000002,0.19999999999999998,32.0,650.2,2500.0,10.0,2.0,250.0,21.8,250.0,10.2,250.0,5.2,250.0,236.6,250.0,34.3,250.0,69.9,250.0,1.2,250.0,18.0,250.0,250.0,250.0,3.0
1.7660449028015137,0.0010000000000000002,0.3,32.0,732.2,2500.0,10.0,2.0,250.0,38.0,250.0,8.6,250.0,31.7,250.0,229.3,250.0,17.1,250.0,105.8,250.0,30.1,250.0,18.4,250.0,246.1,250.0,7.1
1.7947382092475892,0.0010000000000000002,0.39999999999999997,32.0,757.4,2500.0,10.0,2.0,250.0,25.1,250.0,7.0,250.0,40.1,250.0,227.3,250.0,19.2,250.0,113.1,250.0,41.8,250.0,29.3,250.0,241.0,250.0,13.5
1.7541275143623352,0.0010000000000000002,0.5,32.0,830.4,2500.0,10.0,2.0,250.0,31.0,250.0,6.0,250.0,46.1,250.0,216.3,250.0,31.1,250.0,173.8,250.0,45.0,250.0,23.4,250.0,236.2,250.0,21.5
