LOSS,LEARNING_RATE,MOMENTUM,NEURON_COUNT,HIT,TOTAL,EPOCH,FEATURE_COUNT,increased_binding_protein_totals,increased_binding_protein_hits,decreased_binding_protein_totals,decreased_binding_protein_hits,negative_totals,negative_hits,primary_hypothyroid_totals,primary_hypothyroid_hits,compensated_hypothyroid_totals,compensated_hypothyroid_hits,secondary_hypothyroid_totals,secondary_hypothyroid_hits,replacement_therapy_totals,replacement_therapy_hits,underreplacement_totals,underreplacement_hits,overreplacement_totals,overreplacement_hits,discordant_totals,discordant_hit
2.2322318077087404,0.0010000000000000002,0.0,8.0,504.1,2500.0,10.0,3.0,250.0,27.9,250.0,1.5,250.0,34.3,250.0,163.1,250.0,25.8,250.0,24.9,250.0,0.1,250.0,0.5,250.0,222.6,250.0,3.4
2.2963207721710206,0.0010000000000000002,0.09999999999999999,8.0,469.0,2500.0,10.0,3.0,250.0,23.3,250.0,17.2,250.0,0.3,250.0,110.2,250.0,34.2,250.0,62.8,250.0,21.1,250.0,2.2,250.0,191.5,250.0,6.2
2.187851846218109,0.0010000000000000002,0.19999999999999998,8.0,568.3,2500.0,10.0,3.0,250.0,25.0,250.0,20.4,250.0,10.7,250.0,229.9,250.0,1.3,250.0,66.9,250.0,29.0,250.0,5.0,250.0,178.4,250.0,1.7
1.8182596683502197,0.0010000000000000002,0.3,8.0,591.1,2500.0,10.0,3.0,250.0,28.7,250.0,29.4,250.0,6.2,250.0,234.8,250.0,2.3,250.0,52.2,250.0,19.7,250.0,1.6,250.0,190.2,250.0,26.0
1.8856118679046632,0.0010000000000000002,0.39999999999999997,8.0,635.6,2500.0,10.0,3.0,250.0,41.9,250.0,19.9,250.0,11.6,250.0,213.8,250.0,37.5,250.0,52.0,250.0,10.9,250.0,8.8,250.0,223.8,250.0,15.4
1.9236410975456237,0.0010000000000000002,0.5,8.0,692.4,2500.0,10.0,3.0,250.0,65.8,250.0,30.2,250.0,46.4,250.0,197.1,250.0,14.6,250.0,119.7,250.0,46.3,250.0,1.6,250.0,148.1,250.0,22.6
1.623855221271515,0.0010000000000000002,0.5999999999999999,8.0,828.3,2500.0,10.0,3.0,250.0,98.4,250.0,53.2,250.0,22.3,250.0,211.7,250.0,38.8,250.0,127.5,250.0,51.8,250.0,17.6,250.0,194.2,250.0,12.8
1.65503009557724,0.0010000000000000002,0.7000000000000001,8.0,911.7,2500.0,10.0,3.0,250.0,93.2,250.0,33.0,250.0,49.6,250.0,215.9,250.0,42.8,250.0,175.8,250.0,70.3,250.0,8.9,250.0,208.1,250.0,14.1
1.5784231662750243,0.0010000000000000002,0.7999999999999999,8.0,1092.6,2500.0,10.0,3.0,250.0,132.7,250.0,58.2,250.0,55.2,250.0,198.9,250.0,69.7,250.0,194.1,250.0,75.1,250.0,48.1,250.0,198.3,250.0,62.3
1.194114053249359,0.0010000000000000002,0.9000000000000001,8.0,1427.3,2500.0,10.0,3.0,250.0,166.7,250.0,171.0,250.0,118.8,250.0,208.2,250.0,78.7,250.0,216.3,250.0,48.9,250.0,101.9,250.0,202.5,250.0,114.3
1.8540262699127197,0.0010000000000000002,0.0,32.0,714.9,2500.0,10.0,3.0,250.0,47.6,250.0,15.5,250.0,15.1,250.0,234.6,250.0,8.4,250.0,134.0,250.0,8.0,250.0,3.2,250.0,245.3,250.0,3.2
