LOSS,LEARNING_RATE,MOMENTUM,NEURON_COUNT,HIT,TOTAL,EPOCH,FEATURE_COUNT,increased_binding_protein_totals,increased_binding_protein_hits,decreased_binding_protein_totals,decreased_binding_protein_hits,negative_totals,negative_hits,primary_hypothyroid_totals,primary_hypothyroid_hits,compensated_hypothyroid_totals,compensated_hypothyroid_hits,secondary_hypothyroid_totals,secondary_hypothyroid_hits,replacement_therapy_totals,replacement_therapy_hits,underreplacement_totals,underreplacement_hits,overreplacement_totals,overreplacement_hits,discordant_totals,discordant_hit
2.373964762687683,0.0010000000000000002,0.0,8.0,375.0,2500.0,10.0,1.0,250.0,0.0,250.0,0.0,250.0,0.6,250.0,187.4,250.0,3.8,250.0,13.7,250.0,24.2,250.0,0.0,250.0,45.8,250.0,99.5
2.2153697848320006,0.0010000000000000002,0.09999999999999999,8.0,497.0,2500.0,10.0,1.0,250.0,22.5,250.0,11.3,250.0,1.0,250.0,212.0,250.0,7.3,250.0,0.0,250.0,71.6,250.0,42.6,250.0,69.1,250.0,59.6
2.046745443344116,0.0010000000000000002,0.19999999999999998,8.0,576.8,2500.0,10.0,1.0,250.0,14.3,250.0,21.8,250.0,5.7,250.0,197.1,250.0,32.9,250.0,21.4,250.0,46.6,250.0,106.2,250.0,92.5,250.0,38.3
1.9758681654930115,0.0010000000000000002,0.3,8.0,613.1,2500.0,10.0,1.0,250.0,8.6,250.0,34.9,250.0,11.1,250.0,185.5,250.0,75.1,250.0,10.6,250.0,46.6,250.0,99.2,250.0,91.9,250.0,49.6
1.927067220211029,0.0010000000000000002,0.39999999999999997,8.0,635.0,2500.0,10.0,1.0,250.0,11.8,250.0,10.2,250.0,18.1,250.0,184.8,250.0,92.4,250.0,0.0,250.0,45.0,250.0,103.6,250.0,114.7,250.0,54.4
2.118928551673889,0.0010000000000000002,0.5,8.0,658.6,2500.0,10.0,1.0,250.0,16.8,250.0,11.4,250.0,29.5,250.0,187.2,250.0,126.1,250.0,0.0,250.0,63.7,250.0,74.7,250.0,114.2,250.0,35.0
1.680571448802948,0.0010000000000000002,0.5999999999999999,8.0,691.2,2500.0,10.0,1.0,250.0,13.1,250.0,19.0,250.0,39.8,250.0,186.4,250.0,95.6,250.0,0.0,250.0,66.8,250.0,92.2,250.0,164.6,250.0,13.7
1.786754882335663,0.0010000000000000002,0.7000000000000001,8.0,705.8,2500.0,10.0,1.0,250.0,14.4,250.0,30.1,250.0,36.4,250.0,188.6,250.0,107.0,250.0,0.0,250.0,91.0,250.0,94.6,250.0,139.8,250.0,3.9
1.6516886949539185,0.0010000000000000002,0.7999999999999999,8.0,719.0,2500.0,10.0,1.0,250.0,22.9,250.0,3.4,250.0,33.4,250.0,172.4,250.0,106.5,250.0,10.6,250.0,70.7,250.0,117.0,250.0,164.1,250.0,18.0
1.6140385627746583,0.0010000000000000002,0.9000000000000001,8.0,788.6,2500.0,10.0,1.0,250.0,29.0,250.0,35.5,250.0,33.8,250.0,184.8,250.0,155.7,250.0,55.2,250.0,23.4,250.0,69.0,250.0,189.7,250.0,12.5
2.282434844970703,0.0010000000000000002,0.0,32.0,498.3,2500.0,10.0,1.0,250.0,18.6,250.0,23.7,250.0,0.0,250.0,203.7,250.0,24.5,250.0,0.0,250.0,46.0,250.0,43.7,250.0,91.6,250.0,46.5
2.1146647572517394,0.0010000000000000002,0.09999999999999999,32.0,599.6,2500.0,10.0,1.0,250.0,14.6,250.0,0.0,250.0,1.6,250.0,189.8,250.0,53.8,250.0,23.5,250.0,68.5,250.0,102.0,250.0,114.9,250.0,30.9
1.9121572136878968,0.0010000000000000002,0.19999999999999998,32.0,625.1,2500.0,10.0,1.0,250.0,9.4,250.0,0.0,250.0,7.8,250.0,177.1,250.0,90.4,250.0,12.9,250.0,45.3,250.0,109.4,250.0,114.4,250.0,58.4
1.9371845364570617,0.0010000000000000002,0.3,32.0,672.6,2500.0,10.0,1.0,250.0,6.7,250.0,15.2,250.0,22.4,250.0,183.1,250.0,132.9,250.0,0.0,250.0,68.4,250.0,72.3,250.0,164.5,250.0,7.1
1.751469898223877,0.0010000000000000002,0.39999999999999997,32.0,681.1,2500.0,10.0,1.0,250.0,12.4,250.0,39.2,250.0,30.2,250.0,186.4,250.0,146.3,250.0,0.0,250.0,68.0,250.0,63.9,250.0,114.1,250.0,20.6
1.629146122932434,0.0010000000000000002,0.5,32.0,699.0,2500.0,10.0,1.0,250.0,20.9,250.0,27.0,250.0,22.7,250.0,186.5,250.0,125.5,250.0,0.0,250.0,68.2,250.0,82.9,250.0,137.3,250.0,28.0
